,,,tot_carbon_footprint_actual,tot_carbon_footprint_actual,migration_carbon_footprint_actual,migration_carbon_footprint_actual,tot_water_footprint_actual,tot_water_footprint_actual,migration_water_footprint_actual,migration_water_footprint_actual,tot_land_use_footprint_actual,tot_land_use_footprint_actual,migration_land_use_footprint_actual,migration_land_use_footprint_actual,tot_carbon_footprint_forecast,tot_carbon_footprint_forecast,migration_carbon_footprint_forecast,migration_carbon_footprint_forecast,tot_water_footprint_forecast,tot_water_footprint_forecast,migration_water_footprint_forecast,migration_water_footprint_forecast,tot_land_use_footprint_forecast,tot_land_use_footprint_forecast,migration_land_use_footprint_forecast,migration_land_use_footprint_forecast,eu-central-1,eu-central-1,eu-north-1,eu-north-1,eu-west-2,eu-west-2,us-east-1,us-east-1,us-west-1,us-west-1,migration,migration,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_actual_improvement,tot_carbon_footprint_actual_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_actual_improvement,tot_water_footprint_actual_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_actual_improvement,tot_land_use_footprint_actual_improvement,eu-central-1_perc,eu-central-1_perc,eu-north-1_perc,eu-north-1_perc,eu-west-2_perc,eu-west-2_perc,us-east-1_perc,us-east-1_perc,us-west-1_perc,us-west-1_perc
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,mae,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,0.15,autumn,13130688.68710886,211434.45834197893,0.0,0.0,203288.55656379784,7055.228565901983,0.0,0.0,2395.1127827527125,73.77442315325494,0.0,0.0,14305079.67664774,234925.16611671125,0.0,0.0,214007.5194143795,7302.9076825287375,0.0,0.0,2476.2675783403643,75.50279009793081,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.15,spring,12030578.438292595,233794.17384927397,0.0,0.0,250801.4012817406,9602.051694531365,0.0,0.0,2261.525977058991,65.65312549309974,0.0,0.0,13722915.979018116,280363.52744297637,0.0,0.0,259711.70366317176,9818.825255943257,0.0,0.0,2306.0696382249685,65.79721268193938,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.15,summer,14440230.245490499,228535.83049872034,0.0,0.0,243301.41952608278,9062.252352865136,0.0,0.0,2049.845479967438,62.50286326029222,0.0,0.0,15413917.181164088,251941.44389545993,0.0,0.0,254192.49190646774,9340.15372652228,0.0,0.0,2152.939250839893,64.17721463021486,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.15,winter,17206643.416116085,262968.39581728796,0.0,0.0,214945.94994354306,8442.94819350893,0.0,0.0,2033.912607917866,65.20749106370963,0.0,0.0,18232402.163397733,278742.94216777175,0.0,0.0,225677.54057674945,8685.456303191482,0.0,0.0,2125.359763646846,67.32884397467515,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.2,autumn,13130688.68710886,211434.45834197893,0.0,0.0,203288.55656379784,7055.228565901983,0.0,0.0,2395.1127827527125,73.77442315325494,0.0,0.0,14808828.607786862,252095.0571823396,0.0,0.0,217334.44810019076,7348.370537590258,0.0,0.0,2490.4050700670778,75.42192988218558,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.2,spring,12030578.438292595,233794.17384927397,0.0,0.0,250801.4012817406,9602.051694531365,0.0,0.0,2261.525977058991,65.65312549309974,0.0,0.0,13856144.618367827,263066.82342433097,0.0,0.0,263356.5785331097,9921.280592237192,0.0,0.0,2354.364961856954,67.29385330259804,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.2,summer,14440230.245490499,228535.83049872034,0.0,0.0,243301.41952608278,9062.252352865136,0.0,0.0,2049.845479967438,62.50286326029222,0.0,0.0,16204996.352387993,277281.8369500988,0.0,0.0,256245.57542555468,9385.109683533192,0.0,0.0,2147.7656192119684,64.01824410701344,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.2,winter,17206643.416116085,262968.39581728796,0.0,0.0,214945.94994354306,8442.94819350893,0.0,0.0,2033.912607917866,65.20749106370963,0.0,0.0,18498857.51284131,292893.49894886377,0.0,0.0,229382.072860428,8794.018101994241,0.0,0.0,2166.8984230786236,68.06114201808289,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
"RP_[0.0, 0.0, 1.0]",0.05,autumn,16721671.534023339,430546.0129182282,335765.2013937664,5957.603212031249,175293.82642992446,3851.9080369037697,5092.462475242845,78.3017260091935,1409.2949783847935,25.36787247106849,60.13821024731529,1.056491016390947,16967978.70726903,433041.44843305525,347193.7684749498,6136.65933944971,178016.5321510851,3910.640872690011,5178.627615692073,80.05916938269374,1440.1107980809786,25.998506607380964,60.814028283571396,1.0721178823871917,8218.5,429.5838684122112,10936.5,387.58624846606733,7942.833333333333,373.5448656676554,32134.5,829.304467611263,10292.333333333334,894.2529097893204,6389.333333333333,106.79637946422453,-25.18664578679474,1.8029418928350651,-27.338832828835262,1.9040165901232364,13.794271213925894,1.2880904047485922,13.736624242255552,1.3053860174574792,40.481242080493196,1.0376786845557964,41.136352241363504,1.0643953659523502,11.821806157643843,0.6309106752496684,15.727948119112853,0.4432343307151337,11.426315857543159,0.5689466087134014,46.22206838870127,1.1937530956425666,14.80186147699888,1.2556544736141795
"RP_[0.0, 0.0, 1.0]",0.05,spring,14937885.1775434,349330.5343418698,274013.22402378125,4397.3755159144675,251043.63243119605,8112.0391301143845,5760.280177421381,84.61189858934061,1389.5538788435795,24.842471452872143,51.07544279419824,0.805280142743381,15248433.60782023,353284.6573358634,282128.9937711447,4455.408975895707,253922.6802624782,8182.536851621089,5834.445031510298,85.21752637920069,1422.0419249240113,25.52595209816525,51.74983042251859,0.8094100837713006,8218.5,429.5838684122112,15016.833333333334,575.3800193495309,7942.833333333333,373.5448656676554,28350.0,554.2183685155161,9991.666666666666,893.0528913041302,5760.0,94.6424851744712,-23.290201620931672,1.5511623364001403,-24.166138319661787,1.5841931151488338,-0.007654779304963684,0.902673336488614,-0.1175897149055588,0.9109462568076881,37.87050913861146,0.9796814167462509,38.53673311748639,1.0007122941766293,11.822630367177814,0.630992318699613,21.596657129974698,0.6568711422525659,11.42711293928613,0.5690302190794415,40.783795496972104,0.9424742630667126,14.369804066589253,1.2453269811565795
