,,,tot_carbon_footprint_actual,tot_carbon_footprint_actual,migration_carbon_footprint_actual,migration_carbon_footprint_actual,tot_water_footprint_actual,tot_water_footprint_actual,migration_water_footprint_actual,migration_water_footprint_actual,tot_land_use_footprint_actual,tot_land_use_footprint_actual,migration_land_use_footprint_actual,migration_land_use_footprint_actual,tot_carbon_footprint_forecast,tot_carbon_footprint_forecast,migration_carbon_footprint_forecast,migration_carbon_footprint_forecast,tot_water_footprint_forecast,tot_water_footprint_forecast,migration_water_footprint_forecast,migration_water_footprint_forecast,tot_land_use_footprint_forecast,tot_land_use_footprint_forecast,migration_land_use_footprint_forecast,migration_land_use_footprint_forecast,centralus,centralus,eastus2,eastus2,southcentralus,southcentralus,swedencentral,swedencentral,migration,migration,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_actual_improvement,tot_carbon_footprint_actual_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_actual_improvement,tot_water_footprint_actual_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_actual_improvement,tot_land_use_footprint_actual_improvement,centralus_perc,centralus_perc,eastus2_perc,eastus2_perc,southcentralus_perc,southcentralus_perc,swedencentral_perc,swedencentral_perc
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,mae,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R_[0.0, 0.0, 1.0]",0.05,summer,621596.3179094658,4997.597404841895,0.0,0.0,3859.368361217205,23.73810654576496,0.0,0.0,15.442470000637487,0.1128755565435214,0.0,0.0,620019.2724651814,4958.69644707264,0.0,0.0,3906.616400523138,24.12696887314278,0.0,0.0,16.428392114002246,0.12183079787580887,0.0,0.0,40530.333333333336,205.27217703981822,817097.1666666666,2121.392695063009,,,69779.33333333333,321.3979879630048,517275.6666666667,501.31214494232455,-10.930847984182506,0.4077083917193144,-12.930855373449978,0.43925781886586207,39.415937691245524,0.4379919894907408,39.16887037318798,0.4430485654944838,37.0689665779851,0.1227556750438956,38.237655171920544,0.12161073161616609,4.370323247144213,0.02842201604392853,88.10548835489853,0.06384363968521346,,,7.5241883979572535,0.04438575645265285
"R_[0.0, 0.0, 1.0]",0.05,winter,692275.84280072,5291.342054556316,0.0,0.0,3352.2235194733826,25.40005020144181,0.0,0.0,17.007994900025512,0.12527640145760172,0.0,0.0,697828.2310532476,5323.670014409249,0.0,0.0,3413.4554613072974,25.910175998555715,0.0,0.0,17.831771809325975,0.1325386017413659,0.0,0.0,4149.666666666667,85.64733893511615,923257.1666666666,1770.6278453324564,,,,,517192.3333333333,495.1459044227984,-21.67215058737007,0.40842237139336157,-23.401556199180302,0.4273608222573409,47.1102655344641,0.27052591867351705,47.12272749709666,0.2758371632487809,44.80646856462058,0.17388607072971674,45.708938436206324,0.18239768966157266,0.44744605564651146,0.009058798669250816,99.55255394435348,0.009058798669253717,,,,
"R_[0.0, 0.0, 1.0]",0.1,autumn,516245.54424009664,3959.7761601283673,0.0,0.0,3198.774083076412,23.546842665465913,0.0,0.0,16.26858224250243,0.12294353787325171,0.0,0.0,514763.3147469054,3915.754897234832,0.0,0.0,3339.388802063584,24.67326061896373,0.0,0.0,18.391250292362255,0.1410079501291113,0.0,0.0,,,910760.8333333334,1732.969407308343,,,16646.0,132.42205254412843,517201.1666666667,501.04906612692105,-19.181899167048282,0.40811465574368605,-25.174090469318894,0.4977955812035244,41.103029130640415,0.28212383094026755,40.89859157062699,0.2968057014580172,54.40798210805146,0.15726120254150638,57.003350983346174,0.16807361263973283,,,98.20510771806983,0.013040518594622059,,,1.7948922819301625,0.013040518594614215
"R_[0.0, 0.0, 1.0]",0.1,spring,515034.7021336859,4073.4661224741803,0.0,0.0,4321.810321529131,32.24817104168836,0.0,0.0,19.294450515818365,0.14417034513235585,0.0,0.0,521148.8695336079,4031.8037333378074,0.0,0.0,4456.8327614841755,33.38955824642135,0.0,0.0,21.263510099446833,0.16491868639376767,0.0,0.0,,,802430.8333333334,1631.6496458084048,,,124976.0,370.960914383173,517277.8333333333,367.568995790816,-11.999085740534705,0.3056521865674271,-15.628975106952453,0.34920855828245295,34.710490181872984,0.35124203870717785,34.31533524592546,0.37100738116647647,40.876565321038484,0.2101512418377963,42.23681006888496,0.21729491450213595,,,86.5241360670376,0.034825299608806204,,,13.475863932962403,0.03482529960880462
"R_[0.0, 0.0, 1.0]",0.1,summer,626844.7665306098,4934.017860766646,0.0,0.0,3850.375478468844,22.72531088297344,0.0,0.0,15.615739486734812,0.11229447288027175,0.0,0.0,626599.2611227033,4785.058607792369,0.0,0.0,3948.441972401966,23.657011903754608,0.0,0.0,17.415953354694217,0.13314953948454666,0.0,0.0,97248.33333333333,213.82204438894473,756946.3333333334,1888.5116538339464,,,73212.16666666667,214.28897934020443,517041.5,525.8812603620642,-10.811724572884387,0.3571047560702292,-13.884412030869607,0.4096147217472085,39.84392695646206,0.34263978117741606,39.31099702429786,0.35885907082107155,36.8630261829069,0.10734835625125981,37.5446171211959,0.12304606307498166,10.486079844359509,0.030062692145467907,81.61959081823659,0.049569820969091974,,,7.894329337403899,0.0329115619999715
"R_[0.0, 0.0, 1.0]",0.1,winter,690701.9037951073,5255.907519146556,0.0,0.0,3413.455336487321,26.408585367082747,0.0,0.0,17.104834841866953,0.12605740878495045,0.0,0.0,687543.0405883406,5286.058913551047,0.0,0.0,3555.277019434403,27.324416562872603,0.0,0.0,19.440329311981802,0.13959067892099386,0.0,0.0,16539.333333333332,109.98848424569991,896729.0,1735.374426456722,8779.666666666666,66.07773200304824,5358.833333333333,59.50266100492199,517260.6666666667,462.56920203000334,-20.3024206503263,0.3863973826468603,-23.121006249878103,0.4216818887264521,45.98239250559988,0.2637212991417164,46.15696578409395,0.2708708424762197,43.15076399479518,0.17383861481760626,45.39981138038603,0.1857826901235556,1.783394876087135,0.011210863284079504,96.69208439771988,0.011359584901497265,0.9466900551494878,0.006914231005762382,0.5778306710435013,0.006404068593457743
"R_[0.0, 0.0, 1.0]",0.15,autumn,515883.0532425169,4005.7733741249763,0.0,0.0,3248.8232432745285,22.34369559811381,0.0,0.0,16.459396671613906,0.12187787545865089,0.0,0.0,504052.98246088315,3867.336509734254,0.0,0.0,3462.818648446231,23.973572141087693,0.0,0.0,20.039237171126075,0.15217391327066915,0.0,0.0,27956.0,217.47367656799284,876406.6666666666,1732.4953871992525,,,23044.166666666668,154.69895496307146,517216.8333333333,590.263133413118,-14.393901997172419,0.4253654807298134,-25.086141033666767,0.5034518548658831,40.41428311511362,0.2893421534897727,39.97365374258979,0.31181427316793653,51.8403728413952,0.17043263322330693,56.49897915294783,0.17681956097872908,3.014420130497315,0.021658756323440494,94.50077460811026,0.03191594486987376,,,2.484805261392413,0.01766116812312692
"R_[0.0, 0.0, 1.0]",0.15,spring,479241.36174782267,3797.34005997916,0.0,0.0,5364.403758860531,46.128900161549275,0.0,0.0,19.53862421852604,0.1445919015823776,0.0,0.0,500497.2854521942,3851.084487437611,0.0,0.0,5542.930135000377,47.42238180400035,0.0,0.0,21.709524839248587,0.16776625484883445,0.0,0.0,8744.166666666666,80.64097386978094,732609.1666666666,1809.137741208965,11333.166666666666,78.28260768949058,174720.33333333334,577.5027849860736,517109.3333333333,402.97923850574756,-3.3188116576764295,0.33230260307888587,-7.593417699823278,0.4311564233466891,20.015044992328633,0.6093296271234568,18.469100802214623,0.6539103046048463,40.59554957423919,0.2180397962860848,41.50579226783956,0.2174596258249566,0.9428746861768736,0.010052225364958605,78.99539033122146,0.06466721394646698,1.2220383409306026,0.009878234261657546,18.839696641671065,0.06345498532011268
"R_[0.0, 0.0, 1.0]",0.15,summer,598098.998284852,4850.532017399407,0.0,0.0,4572.979321679105,27.18803306597095,0.0,0.0,15.908713003908195,0.11370672804053812,0.0,0.0,596017.6061245562,4698.6987671639345,0.0,0.0,4727.51430766724,28.449285748965274,0.0,0.0,18.670555618331587,0.14225926622624124,0.0,0.0,132274.0,274.6037144686872,659183.8333333334,2005.8908660908494,8068.666666666667,133.57644502930395,127880.33333333333,377.8267680652949,517231.5,536.5775805976212,-5.94042882432069,0.3964229119150777,-8.661939233967155,0.4512441753187554,29.409245831686192,0.45319995530900126,27.92112970736638,0.48646849663478237,36.77193605117926,0.1307977960750839,36.372846937137176,0.12645251704518937,14.262837397924292,0.045513525600044874,71.07805559176693,0.0888616882835994,0.8700213221298728,0.014082905364530237,13.78908568817892,0.05524455010366428
"R_[0.0, 0.0, 1.0]",0.15,winter,686258.0815631027,5201.884902237399,0.0,0.0,3541.3932954469115,26.877675231203828,0.0,0.0,17.275755581018334,0.12562458049209793,0.0,0.0,687386.293316182,5208.603444714421,0.0,0.0,3710.2452547910907,28.02180357194219,0.0,0.0,19.89229804254674,0.14397605629384402,0.0,0.0,37495.333333333336,286.8125985145472,850418.1666666666,1817.4751075782729,8148.5,98.4250984251476,31344.833333333332,171.97955304822307,517216.6666666667,505.1707302156963,-18.017340822041817,0.3338175040016468,-22.328895202088272,0.4184667339831,44.40527427542603,0.2734425330234111,44.13881718231119,0.2893188780644453,43.08296664840031,0.18627051476017809,44.85419221005403,0.18473840174106684,4.043070101261546,0.03587871258245112,91.69847238709339,0.026952570802956096,0.8786313900135179,0.010340250562930836,3.3798261216315364,0.014765955475399075
