platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T07:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-east-2
AWS,c4.2xlarge,2.9,10,8,16.106099999999998,48060212000,lr,2024-01-21T09:00:00Z,4142.607,14100343.799621332,91.55502761123384,3.758023035657936,aws_us-east-2
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T11:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-east-2
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T13:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-2
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T14:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-east-2
AWS,c4.large,2.9,4,2,4.0265249999999995,24060201200,lr,2024-01-21T15:00:00Z,5875.396,3765811.309230115,97.69037856231392,21.315752871118672,aws_us-east-2
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T15:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-east-2
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-22T00:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-east-1
AWS,c4.2xlarge,2.9,8,8,16.106099999999998,48060238592,lr,2024-01-22T00:00:00Z,3948.893,15036564.126275202,97.6339448951723,6.519945377138726,aws_us-east-1
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T02:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-1
AWS,c4.2xlarge,2.9,10,8,16.106099999999998,48060212000,lr,2024-01-21T04:00:00Z,4142.607,14100343.799621332,91.55502761123384,3.758023035657936,aws_us-east-1
AWS,c4.xlarge,2.9,16,4,8.053049999999999,48060238592,lr,2024-01-21T05:00:00Z,3906.204,7140901.504037164,93.22917984736202,5.980986616524722,aws_us-east-1
AWS,c4.xlarge,2.9,20,4,8.053049999999999,48060212000,lr,2024-01-21T06:00:00Z,4119.603,6877551.00155521,89.7909867807154,3.6643343701399687,aws_us-east-1
AWS,c4.xlarge,2.9,4,4,8.053049999999999,48060202400,lr,2024-01-21T09:00:00Z,6921.177,7505279.753472222,97.98638268849206,15.807695932539684,aws_us-east-1
AWS,m4.large,2.4,8,2,8.58992,48060202400,lr,2024-01-21T11:00:00Z,5415.409,7939781.344478499,97.11546670381722,22.062333054704183,aws_us-east-1
