platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,m3.large,2.6,1,2,7.516179999999999,-1,gmm,279.33607726999617,4371397.090909091,57.07181818181816,53.92618181818182
AWS,r3.xlarge,2.5,1,4,32.749069999999996,-1,pearson,296.4372625169999,13950657.288135594,44.40474576271186,51.77525423728814
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,3284904661,sort,1712.116,12283286.962099126,79.75673469387756,2.8435276967930028
AWS,c4.large,2.9,1,2,4.0265249999999995,-1,pearson,276.9789885890059,3686590.690909091,95.63490909090908,52.9430909090909
AWS,c3.xlarge,2.8,1,4,7.516179999999999,940817222,bayes,96.396,6251268.2,81.6145,77.0845
AWS,m4.large,2.4,1,2,8.58992,-1,kmeans,1353.8149570340029,6622870.592592592,81.00755555555556,52.46140740740741
AWS,m3.xlarge,2.6,1,4,16.106099999999998,-1,fp-growth,46.31094145200041,6169242.666666667,40.056666666666665,58.26222222222222
AWS,c4.xlarge,2.9,1,4,8.053049999999999,-1,svd,276.1428034110004,4435350.69090909,57.906545454545466,50.958181818181814
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,pearson,38.60932589400181,10050850.285714284,15.977142857142857,38.98142857142857
AWS,c3.xlarge,2.8,1,4,7.516179999999999,-1,summary-statistics,22.249411520002468,2645965.0,34.5475,49.2975
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,classification,65.45546713100157,7684652.923076923,49.89692307692307,42.29692307692308
AWS,c3.2xlarge,2.8,1,8,16.106099999999998,-1,fp-growth,30.337086096999997,4660300.666666667,30.260000000000005,42.555
AWS,r3.large,2.5,1,2,16.106099999999998,395478955,pagerank,417.01,9896323.529411765,63.170352941176475,94.28235294117646
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,-1,pic,43.12113453300117,6012355.5,39.04,43.78625
AWS,c4.2xlarge,2.9,1,8,16.106099999999998,-1,chi-sq-feature,111.53588092200016,10461348.727272728,67.92727272727272,46.77045454545455
AWS,r4.large,2.3,1,2,16.374534999999998,-1,chi-sq-gof,22.02273531600076,3249343.0,20.7525,69.715
AWS,r3.2xlarge,2.5,1,8,65.49813999999999,-1,spearman,89.48882271799994,21536471.29411765,34.23,42.09823529411764
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,block-matrix-mult,162.52249583999946,13162199.75,42.6184375,33.20375
AWS,m4.large,2.4,1,2,8.58992,-1,classification,2415.741737519995,5925072.347826087,72.47281573498964,51.92412008281574
AWS,m3.2xlarge,2.6,1,8,32.212199999999996,-1,summary-statistics,70.44437199100003,9823776.57142857,31.808571428571433,39.35642857142857
AWS,m3.large,2.6,1,2,7.516179999999999,-1,gmm,156.3712080590003,5324787.096774193,69.51870967741937,54.51516129032256
AWS,c3.xlarge,2.8,1,4,7.516179999999999,3284938548,sort,133.028,6209276.857142857,81.06571428571428,37.15285714285715
AWS,m4.large,2.4,1,2,8.58992,-1,block-matrix-mult,164.93856618999962,5395556.484848484,65.99575757575757,42.44242424242424
AWS,m4.xlarge,2.4,1,4,17.17984,-1,random-forest,82.45216179099953,6469347.25,39.368125,53.120000000000005
AWS,c3.large,2.8,1,2,4.0265249999999995,-1,word2vec,218.99888357899908,3624330.604651163,94.02046511627906,94.34837209302329
