platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,r4.2xlarge,2.3,4,8,65.5,24060214464,lr,2018-01-05 08:56:57,1167.980,24448318.914529916,38.87995726495726,12.722596153846153
AWS,m4.2xlarge,2.4,4,8,34.36,51326806293,wordcount,2018-01-05 07:18:02,609.296,15303383.413441956,46.44686354378819,64.80366598778004
AWS,r4.2xlarge,2.3,8,8,65.5,24060238592,lr,2018-01-04 21:21:16,1545.941,18264991.633870967,29.04657661290323,4.688741935483871
AWS,r4.2xlarge,2.3,10,8,65.5,6104130678,pagerank,2018-01-06 07:44:05,270.936,19942383.260215055,31.714129032258064,55.156774193548394
AWS,r4.xlarge,2.3,8,4,32.75,51326786157,wordcount,2018-01-05 01:39:17,575.111,8017949.072120559,25.534833153928957,65.46194833153929
AWS,r4.xlarge,2.3,8,4,32.75,6104074583,pagerank,2018-01-05 07:28:09,1619.567,4023195.5301318266,12.812735404896422,70.60067325800377
AWS,m4.xlarge,2.4,8,4,17.18,24060214464,lr,2018-01-05 04:01:06,1239.679,12056854.809236947,73.36920682730924,14.070958835341365
AWS,r4.2xlarge,2.3,8,8,65.5,48060238592,lr,2018-01-05 00:39:46,2488.774,25299427.500617284,40.23333641975309,6.2202469135802465
AWS,r4.2xlarge,2.3,10,8,65.5,48060212000,lr,2018-01-06 07:29:40,2830.579,22078176.377955914,35.11059118236472,4.061212424849699
AWS,m4.xlarge,2.4,10,4,17.18,48060206000,lr,2018-01-06 09:15:12,2437.692,13153835.667613285,80.04457834300531,10.207546610692678
AWS,m4.xlarge,2.4,4,4,17.18,50000000000,terasort,2018-01-05 08:50:38,1239.594,15536423.018867925,94.54347567030784,40.79300893743793
AWS,m4.large,2.4,4,2,8.59,51326786524,wordcount,2018-01-05 07:58:17,2902.673,7834550.021450021,95.82839982839982,55.94473616473616
AWS,c4.large,2.9,4,2,4.03,50000000000,terasort,2018-01-05 09:54:57,1907.336,3543872.451697128,91.93296997389034,49.633446475195825
AWS,c4.2xlarge,2.9,10,8,16.11,93800091161,join,2018-01-06 03:25:13,365.106,13550000.366621068,87.98147742818057,27.194610123119013
AWS,r4.2xlarge,2.3,8,8,65.5,50000000000,terasort,2018-01-04 20:18:06,453.970,17213016.782608695,27.37368206521739,31.520434782608696
